Provider,Category,Feature,Protocol,Raw_Value,Score,Provenance
AdGuard VPN,ValueForMoney,Renewal lowest price tier,Overall,over_10,0.00,editorial_default
AdGuard VPN,ValueForMoney,Static ip included,Overall,no,0.00,editorial_default
AdGuard VPN,ValueForMoney,Student discount,Overall,no,0.00,manual_admin
AdGuard VPN,ValueForMoney,Subscription term count,Overall,three_plus,0.50,manual_admin
AdGuard VPN,ValueForMoney,Traditional payments,Overall,multiple,0.30,editorial_default
AirVPN,EaseOfUse,_section_total,Overall,,2.00,calculated
AirVPN,EaseOfUse,Browser extensions,Overall,1_plus,0.50,editorial_default
AirVPN,EaseOfUse,Linux support,Overall,app_with_gui,0.50,editorial_default
AirVPN,EaseOfUse,Live chat quality,Overall,email_only,0.10,editorial_default
AirVPN,EaseOfUse,Quick pick purpose,Overall,no,0.00,manual_admin
AirVPN,EaseOfUse,Router support,Overall,app_or_firmware,0.50,editorial_default
AirVPN,EaseOfUse,Streaming device apps eou,Overall,none,0.00,editorial_default
AirVPN,EaseOfUse,Task specific servers,Overall,yes,0.40,manual_admin
AirVPN,Security,_section_total,Overall,,5.00,calculated
AirVPN,Security,Anonymous payment,Overall,multiple,0.40,editorial_default
AirVPN,Security,Dns leak pass rate,Overall,tier_pass,0.80,editorial_default
AirVPN,Security,Encryption strength,Overall,aes_128_or_higher,0.60,manual_admin
AirVPN,Security,Hq jurisdiction,Overall,inside_14_eyes,0.00,calculated
AirVPN,Security,Ipv4 leak pass rate,Overall,tier_pass,0.30,editorial_default
AirVPN,Security,Ipv6 leak pass rate,Overall,tier_pass,0.80,editorial_default
AirVPN,Security,Kill switch effectiveness,Overall,effective,0.60,editorial_default
AirVPN,Security,Modern protocols,Overall,has_modern,0.70,manual_admin
AirVPN,Security,Webrtc leak pass rate,Overall,tier_pass,0.80,editorial_default
AirVPN,Speed,_section_total,Overall,,7.80,calculated
AirVPN,Speed,_section_total_v3_global,Overall,,5.00,editorial_default
AirVPN,Speed,_section_total_v3_uk,Overall,,5.00,editorial_default
AirVPN,Speed,Connection time,Overall,tier_okay,0.05,editorial_default
AirVPN,Speed,Download tier,Overall,tier_good,2.65,editorial_default
AirVPN,Speed,Jitter tier,Overall,tier_good,0.20,editorial_default
AirVPN,Speed,Latency tier,Overall,tier_good,1.50,editorial_default
AirVPN,Speed,Long distance speed,Overall,tier_consistent,1.00,editorial_default
AirVPN,Speed,Packet loss tier,Overall,tier_good,0.40,editorial_default
AirVPN,Speed,Speed consistency,Overall,tier_consistent,1.00,editorial_default
AirVPN,Speed,Upload tier,Overall,tier_good,1.00,editorial_default
AirVPN,Streaming,_section_total,Overall,,0.30,calculated
AirVPN,Streaming,Android tv app,Overall,,0.00,comparitech_api
AirVPN,Streaming,Browser extensions,Overall,yes,,editorial_default
AirVPN,Streaming,Includes ad blocker,Overall,,0.00,comparitech_api
AirVPN,Streaming,Number of locations in relevant country,Overall,<5,1.20,comparitech_api
AirVPN,Streaming,Offers a smart dns service,Overall,,0.00,comparitech_api
AirVPN,Streaming,Simultaneous stream capacity,Overall,4_plus,0.30,editorial_default
AirVPN,Streaming,Streaming device apps,Overall,none,0.00,calculated
AirVPN,Streaming,Streaming unblock toolkit,Overall,no,0.00,editorial_default
AirVPN,Streaming,Tier1 streaming,Overall,most_3_or_4,,editorial_default
AirVPN,Streaming,Tier2 streaming,Overall,most_3_or_4,,editorial_default
AirVPN,Streaming,Tier3 streaming,Overall,most_3_or_4,,editorial_default
AirVPN,Streaming,Works in high censorship countries,Overall,,0.00,comparitech_api
AirVPN,SystemPerformance,_section_total,Overall,,4.00,calculated
AirVPN,SystemPerformance,Cpu tier,Overall,tier_okay,1.20,editorial_default
AirVPN,SystemPerformance,Idle delta cpu tier,Overall,tier_okay,0.00,editorial_default
AirVPN,SystemPerformance,Load efficiency tier,Overall,tier_okay,4.00,editorial_default
AirVPN,SystemPerformance,Network overhead tier,Overall,tier_okay,1.00,editorial_default
AirVPN,SystemPerformance,Ram delta tier,Overall,tier_okay,0.00,editorial_default
AirVPN,SystemPerformance,Ram tier,Overall,tier_okay,1.20,editorial_default
AirVPN,ValueForMoney,_section_total,Overall,,4.35,calculated
AirVPN,ValueForMoney,Anonymous payments vfm,Overall,multiple,0.50,editorial_default
AirVPN,ValueForMoney,Connection limit tier,Overall,under_6,0.45,editorial_default
AirVPN,ValueForMoney,Country count,Overall,under_30,,manual_admin
AirVPN,ValueForMoney,Free trial available,Overall,no,0.00,manual_admin
AirVPN,ValueForMoney,Includes av,Overall,no,0.00,manual_admin
AirVPN,ValueForMoney,Money back duration,Overall,30_to_44,0.90,editorial_default
AirVPN,ValueForMoney,Monthly price tier,Overall,under_10,1.00,editorial_default
AirVPN,ValueForMoney,Renewal lowest price tier,Overall,3_to_5,0.70,editorial_default
AirVPN,ValueForMoney,Student discount,Overall,no,0.00,manual_admin
AirVPN,ValueForMoney,Subscription term count,Overall,three_plus,0.50,manual_admin
AirVPN,ValueForMoney,Traditional payments,Overall,multiple,0.30,editorial_default
Anonymous VPN,EaseOfUse,_section_total,Overall,,2.30,calculated
Anonymous VPN,EaseOfUse,Apps for major platforms,Overall,3_of_4,0.70,manual_admin
Anonymous VPN,EaseOfUse,Browser extensions,Overall,none,0.00,editorial_default
Anonymous VPN,EaseOfUse,Ease of cancellation,Overall,moderate,0.20,editorial_default
Anonymous VPN,EaseOfUse,Linux support,Overall,none,0.00,editorial_default
Anonymous VPN,EaseOfUse,Live chat quality,Overall,email_only,0.10,editorial_default
Anonymous VPN,EaseOfUse,Quick connect,Overall,yes,0.80,manual_admin
Anonymous VPN,EaseOfUse,Router support,Overall,app_or_firmware,0.50,editorial_default
Anonymous VPN,EaseOfUse,Streaming device apps eou,Overall,none,0.00,editorial_default
Anonymous VPN,EaseOfUse,Task specific servers,Overall,no,0.00,manual_admin
Anonymous VPN,Security,_section_total,Overall,,5.20,calculated
Anonymous VPN,Security,Anonymous payment,Overall,none,0.00,editorial_default
Anonymous VPN,Security,Authentication strength,Overall,weaker,0.00,calculated
Anonymous VPN,Security,Dns leak pass rate,Overall,tier_pass,0.80,editorial_default
Anonymous VPN,Security,Encryption strength,Overall,aes_128_or_higher,0.60,manual_admin
Anonymous VPN,Security,Hq jurisdiction,Overall,outside_14_eyes,0.50,manual_admin
Anonymous VPN,Security,Independent audit,Overall,none,0.00,editorial_default
Anonymous VPN,Security,Ipv4 leak pass rate,Overall,tier_pass,0.30,editorial_default
Anonymous VPN,Security,Ipv6 leak pass rate,Overall,tier_pass,0.80,editorial_default
Anonymous VPN,Security,Kill switch effectiveness,Overall,effective,0.60,editorial_default
Anonymous VPN,Security,Modern protocols,Overall,has_modern,0.70,manual_admin
Anonymous VPN,Security,No logs policy status,Overall,logs_kept,0.00,editorial_default
Anonymous VPN,Security,Obfuscation available,Overall,no,0.00,calculated
Anonymous VPN,Security,Perfect forward secrecy,Overall,no,0.00,manual_admin
Anonymous VPN,Security,Restrictive region access,Overall,no,0.00,editorial_default
Anonymous VPN,Security,Rsa key length,Overall,2048,0.10,calculated
Anonymous VPN,Security,Webrtc leak pass rate,Overall,tier_pass,0.80,editorial_default
Anonymous VPN,Speed,_section_total,Overall,,7.80,calculated
Anonymous VPN,Speed,_section_total_v3_global,Overall,,5.00,editorial_default
Anonymous VPN,Speed,_section_total_v3_uk,Overall,,5.00,editorial_default
Anonymous VPN,Speed,Connection time,Overall,tier_okay,0.05,editorial_default
Anonymous VPN,Speed,Download tier,Overall,tier_good,2.65,editorial_default
Anonymous VPN,Speed,Jitter tier,Overall,tier_good,0.20,editorial_default
Anonymous VPN,Speed,Latency tier,Overall,tier_good,1.50,editorial_default
Anonymous VPN,Speed,Long distance speed,Overall,tier_consistent,1.00,editorial_default
Anonymous VPN,Speed,Packet loss tier,Overall,tier_good,0.40,editorial_default
Anonymous VPN,Speed,Speed consistency,Overall,tier_consistent,1.00,editorial_default
Anonymous VPN,Speed,Upload tier,Overall,tier_good,1.00,editorial_default
Anonymous VPN,Streaming,_section_total,Overall,,0.15,calculated
Anonymous VPN,Streaming,Android tv app,Overall,,0.00,comparitech_api
Anonymous VPN,Streaming,Browser extensions,Overall,no,,editorial_default
Anonymous VPN,Streaming,Includes ad blocker,Overall,,0.00,comparitech_api
Anonymous VPN,Streaming,Number of locations in relevant country,Overall,<5,1.20,comparitech_api
Anonymous VPN,Streaming,Offers a smart dns service,Overall,,0.00,comparitech_api
Anonymous VPN,Streaming,Simultaneous stream capacity,Overall,under_4,0.15,editorial_default
Anonymous VPN,Streaming,Streaming device apps,Overall,none,0.00,calculated
Anonymous VPN,Streaming,Streaming unblock toolkit,Overall,no,0.00,editorial_default
Anonymous VPN,Streaming,Tier1 streaming,Overall,most_3_or_4,,editorial_default
Anonymous VPN,Streaming,Tier2 streaming,Overall,most_3_or_4,,editorial_default
Anonymous VPN,Streaming,Tier3 streaming,Overall,most_3_or_4,,editorial_default
Anonymous VPN,Streaming,Works in high censorship countries,Overall,,0.00,comparitech_api
Anonymous VPN,SystemPerformance,_section_total,Overall,,4.00,calculated
Anonymous VPN,SystemPerformance,Cpu tier,Overall,tier_okay,1.20,editorial_default
Anonymous VPN,SystemPerformance,Idle delta cpu tier,Overall,tier_okay,0.00,editorial_default
Anonymous VPN,SystemPerformance,Load efficiency tier,Overall,tier_okay,4.00,editorial_default
Anonymous VPN,SystemPerformance,Network overhead tier,Overall,tier_okay,1.00,editorial_default
Anonymous VPN,SystemPerformance,Ram delta tier,Overall,tier_okay,0.00,editorial_default
Anonymous VPN,SystemPerformance,Ram tier,Overall,tier_okay,1.20,editorial_default
Anonymous VPN,ValueForMoney,_section_total,Overall,,4.35,calculated
Anonymous VPN,ValueForMoney,Anonymous payments vfm,Overall,none,0.00,editorial_default
Anonymous VPN,ValueForMoney,Clear cancellation,Overall,yes,0.50,editorial_default
Anonymous VPN,ValueForMoney,Connection limit tier,Overall,under_6,0.45,editorial_default
Anonymous VPN,ValueForMoney,Country count,Overall,under_30,,manual_admin
Anonymous VPN,ValueForMoney,Free trial available,Overall,no,0.00,manual_admin
Anonymous VPN,ValueForMoney,Includes av,Overall,no,0.00,manual_admin
Anonymous VPN,ValueForMoney,Includes dark web monitor,Overall,no,0.00,editorial_default
Anonymous VPN,ValueForMoney,Includes password manager,Overall,no,0.00,editorial_default
Anonymous VPN,ValueForMoney,Intro lowest price tier,Overall,5_to_7,0.50,editorial_default
Anonymous VPN,ValueForMoney,Money back duration,Overall,14_to_29,0.70,editorial_default
Anonymous VPN,ValueForMoney,Monthly price tier,Overall,12_to_14,0.40,editorial_default
Anonymous VPN,ValueForMoney,Pricing consistency,Overall,consistent,0.60,editorial_default
Anonymous VPN,ValueForMoney,Renewal lowest price tier,Overall,5_to_7,0.50,editorial_default
Anonymous VPN,ValueForMoney,Static ip included,Overall,no,0.00,editorial_default
Anonymous VPN,ValueForMoney,Student discount,Overall,no,0.00,manual_admin
Anonymous VPN,ValueForMoney,Subscription term count,Overall,three_plus,0.50,manual_admin
Anonymous VPN,ValueForMoney,Traditional payments,Overall,single,0.20,editorial_default
Astrill,EaseOfUse,_section_total,Overall,,5.02,calculated
Astrill,EaseOfUse,Apps for major platforms,Overall,all_4,1.00,manual_admin
Astrill,EaseOfUse,Browser extensions,Overall,none,0.00,editorial_default
Astrill,EaseOfUse,Country count,Overall,under_30,0.20,manual_admin
Astrill,EaseOfUse,Ease of cancellation,Overall,difficult,0.00,manual_admin
Astrill,EaseOfUse,Ease of signup,Overall,moderate,0.42,manual_admin
Astrill,EaseOfUse,Knowledge base,Overall,comprehensive,0.40,manual_admin
Astrill,EaseOfUse,Linux support,Overall,app_with_gui,0.50,editorial_default
Astrill,EaseOfUse,Live chat quality,Overall,business_hours,0.40,editorial_default
Astrill,EaseOfUse,Quick connect,Overall,yes,0.80,manual_admin
Astrill,EaseOfUse,Quick pick purpose,Overall,no,0.00,manual_admin
Astrill,EaseOfUse,Router support,Overall,app_or_firmware,0.50,editorial_default
Astrill,EaseOfUse,Setup guides,Overall,comprehensive,0.40,manual_admin
Astrill,EaseOfUse,Streaming device apps eou,Overall,none,0.00,editorial_default
Astrill,EaseOfUse,Task specific servers,Overall,yes,0.40,manual_admin
Astrill,Security,_section_total,Overall,,6.70,calculated
Astrill,Security,Anonymous payment,Overall,multiple,0.40,editorial_default
Astrill,Security,Authentication strength,Overall,weaker,0.00,manual_admin
Astrill,Security,Dns leak pass rate,Overall,tier_pass,0.80,editorial_default
Astrill,Security,Encryption strength,Overall,aes_128_or_higher,0.60,calculated
Astrill,Security,Hq jurisdiction,Overall,outside_14_eyes,0.50,editorial_default
Astrill,Security,Independent audit,Overall,none,0.00,editorial_default
Astrill,Security,Ipv4 leak pass rate,Overall,tier_pass,0.30,editorial_default
Astrill,Security,Ipv6 leak pass rate,Overall,tier_pass,0.80,editorial_default
Astrill,Security,Kill switch effectiveness,Overall,effective,0.60,editorial_default
Astrill,Security,Modern protocols,Overall,has_modern,0.70,calculated
Astrill,Security,No logs policy status,Overall,logs_kept,0.00,editorial_default
Astrill,Security,Obfuscation available,Overall,yes,0.50,calculated
Astrill,Security,Perfect forward secrecy,Overall,yes,0.30,manual_admin
Astrill,Security,Restrictive region access,Overall,yes,0.30,editorial_default
Astrill,Security,Rsa key length,Overall,2048,0.10,calculated
Astrill,Security,Webrtc leak pass rate,Overall,tier_pass,0.80,editorial_default
Astrill,Speed,_section_total,Overall,,7.80,calculated
Astrill,Speed,_section_total_v3_global,Overall,,5.00,editorial_default
Astrill,Speed,_section_total_v3_uk,Overall,,5.00,editorial_default
Astrill,Speed,Connection time,Overall,tier_okay,0.05,editorial_default
Astrill,Speed,Download tier,Overall,tier_good,2.65,editorial_default
Astrill,Speed,Jitter tier,Overall,tier_good,0.20,editorial_default
Astrill,Speed,Latency tier,Overall,tier_good,1.50,editorial_default
Astrill,Speed,Long distance speed,Overall,tier_consistent,1.00,editorial_default
Astrill,Speed,Packet loss tier,Overall,tier_good,0.40,editorial_default
Astrill,Speed,Speed consistency,Overall,tier_consistent,1.00,editorial_default
Astrill,Speed,Upload tier,Overall,tier_good,1.00,editorial_default
Astrill,Streaming,_section_total,Overall,,0.60,calculated
Astrill,Streaming,Android tv app,Overall,,0.00,comparitech_api
Astrill,Streaming,Browser extensions,Overall,no,,editorial_default
Astrill,Streaming,Includes ad blocker,Overall,,0.00,comparitech_api
Astrill,Streaming,Number of locations in relevant country,Overall,<5,1.20,comparitech_api
Astrill,Streaming,Offers a smart dns service,Overall,,0.00,comparitech_api
Astrill,Streaming,Simultaneous stream capacity,Overall,4_plus,0.30,editorial_default
Astrill,Streaming,Streaming device apps,Overall,none,0.00,calculated
Astrill,Streaming,Streaming unblock toolkit,Overall,yes,0.30,editorial_default
Astrill,Streaming,Tier1 streaming,Overall,most_3_or_4,,editorial_default
Astrill,Streaming,Tier2 streaming,Overall,most_3_or_4,,editorial_default
Astrill,Streaming,Tier3 streaming,Overall,most_3_or_4,,editorial_default
Astrill,Streaming,Works in high censorship countries,Overall,,0.00,comparitech_api
Astrill,SystemPerformance,_section_total,Overall,,4.00,calculated
Astrill,SystemPerformance,Cpu tier,Overall,tier_okay,1.20,editorial_default
Astrill,SystemPerformance,Idle delta cpu tier,Overall,tier_okay,0.00,editorial_default
Astrill,SystemPerformance,Load efficiency tier,Overall,tier_okay,4.00,editorial_default
Astrill,SystemPerformance,Network overhead tier,Overall,tier_okay,1.00,editorial_default
Astrill,SystemPerformance,Ram delta tier,Overall,tier_okay,0.00,editorial_default
Astrill,SystemPerformance,Ram tier,Overall,tier_okay,1.20,editorial_default
Astrill,ValueForMoney,_section_total,Overall,,2.55,calculated
Astrill,ValueForMoney,Anonymous payments vfm,Overall,multiple,0.50,editorial_default
Astrill,ValueForMoney,Connection limit tier,Overall,under_6,0.45,editorial_default
Astrill,ValueForMoney,Country count,Overall,30_to_59,,manual_admin
Astrill,ValueForMoney,Free trial available,Overall,no,0.00,manual_admin
Astrill,ValueForMoney,Includes av,Overall,no,0.00,manual_admin
Astrill,ValueForMoney,Includes dark web monitor,Overall,no,0.00,editorial_default
Astrill,ValueForMoney,Includes password manager,Overall,no,0.00,editorial_default
Astrill,ValueForMoney,Intro lowest price tier,Overall,over_10,0.00,editorial_default
Astrill,ValueForMoney,Money back duration,Overall,under_7,0.00,editorial_default
Astrill,ValueForMoney,Monthly price tier,Overall,over_14,0.00,editorial_default
Astrill,ValueForMoney,Pricing consistency,Overall,moderate,0.50,editorial_default
Astrill,ValueForMoney,Renewal lowest price tier,Overall,over_10,0.00,editorial_default
Astrill,ValueForMoney,Static ip included,Overall,yes,0.30,editorial_default
Astrill,ValueForMoney,Student discount,Overall,no,0.00,manual_admin
Astrill,ValueForMoney,Subscription term count,Overall,three_plus,0.50,manual_admin
Astrill,ValueForMoney,Traditional payments,Overall,multiple,0.30,editorial_default
Astrill VPN,EaseOfUse,_section_total,Overall,,3.42,calculated
Astrill VPN,EaseOfUse,Ease of cancellation,Overall,difficult,0.00,manual_admin
Astrill VPN,EaseOfUse,Ease of signup,Overall,moderate,0.42,manual_admin
Astrill VPN,EaseOfUse,Knowledge base,Overall,comprehensive,0.40,manual_admin
Astrill VPN,EaseOfUse,Linux support,Overall,app_with_gui,0.50,manual_admin
Astrill VPN,EaseOfUse,Live chat quality,Overall,business_hours,0.40,editorial_default
Astrill VPN,EaseOfUse,Quick connect,Overall,yes,0.80,manual_admin
Astrill VPN,EaseOfUse,Quick pick purpose,Overall,no,0.00,manual_admin
Astrill VPN,EaseOfUse,Router support,Overall,app_or_firmware,0.50,manual_admin
Astrill VPN,EaseOfUse,Setup guides,Overall,comprehensive,0.40,manual_admin
Astrill VPN,EaseOfUse,Task specific servers,Overall,no,0.00,manual_admin
Astrill VPN,Security,_section_total,Overall,,6.40,calculated
Astrill VPN,Security,Anonymous payment,Overall,multiple,0.40,editorial_default
Astrill VPN,Security,Authentication strength,Overall,weaker,0.00,calculated
Astrill VPN,Security,Dns leak pass rate,Overall,tier_pass,0.80,editorial_default
Astrill VPN,Security,Encryption strength,Overall,aes_128_or_higher,0.60,calculated
Astrill VPN,Security,Hq jurisdiction,Overall,outside_14_eyes,0.50,calculated
Astrill VPN,Security,Ipv4 leak pass rate,Overall,tier_pass,0.30,editorial_default
Astrill VPN,Security,Ipv6 leak pass rate,Overall,tier_pass,0.80,editorial_default
Astrill VPN,Security,Kill switch effectiveness,Overall,effective,0.60,editorial_default
Astrill VPN,Security,Modern protocols,Overall,has_modern,0.70,calculated
Astrill VPN,Security,Obfuscation available,Overall,yes,0.50,calculated
Astrill VPN,Security,Restrictive region access,Overall,yes,0.30,editorial_default
Astrill VPN,Security,Rsa key length,Overall,2048,0.10,calculated
Astrill VPN,Security,Webrtc leak pass rate,Overall,tier_pass,0.80,editorial_default
Astrill VPN,Speed,_section_total,Overall,,7.80,calculated
Astrill VPN,Speed,_section_total_v3_global,Overall,,5.00,editorial_default
Astrill VPN,Speed,_section_total_v3_uk,Overall,,5.00,editorial_default
Astrill VPN,Speed,Connection time,Overall,tier_okay,0.05,editorial_default
Astrill VPN,Speed,Download tier,Overall,tier_good,2.65,editorial_default
Astrill VPN,Speed,Jitter tier,Overall,tier_good,0.20,editorial_default
Astrill VPN,Speed,Latency tier,Overall,tier_good,1.50,editorial_default
Astrill VPN,Speed,Long distance speed,Overall,tier_consistent,1.00,editorial_default
Astrill VPN,Speed,Packet loss tier,Overall,tier_good,0.40,editorial_default
Astrill VPN,Speed,Speed consistency,Overall,tier_consistent,1.00,editorial_default
Astrill VPN,Speed,Upload tier,Overall,tier_good,1.00,editorial_default
Astrill VPN,Streaming,_section_total,Overall,,0.45,calculated
Astrill VPN,Streaming,Simultaneous stream capacity,Overall,under_4,0.15,editorial_default
Astrill VPN,Streaming,Streaming unblock toolkit,Overall,yes,0.30,editorial_default
Astrill VPN,Streaming,Tier1 streaming,Overall,most_3_or_4,,editorial_default
Astrill VPN,Streaming,Tier2 streaming,Overall,most_3_or_4,,editorial_default
Astrill VPN,Streaming,Tier3 streaming,Overall,most_3_or_4,,editorial_default
Astrill VPN,SystemPerformance,_section_total,Overall,,4.00,calculated
Astrill VPN,SystemPerformance,Cpu tier,Overall,tier_okay,1.20,editorial_default
Astrill VPN,SystemPerformance,Idle delta cpu tier,Overall,tier_okay,0.00,editorial_default
Astrill VPN,SystemPerformance,Load efficiency tier,Overall,tier_okay,4.00,editorial_default
Astrill VPN,SystemPerformance,Network overhead tier,Overall,tier_okay,1.00,editorial_default
Astrill VPN,SystemPerformance,Ram delta tier,Overall,tier_okay,0.00,editorial_default
Astrill VPN,SystemPerformance,Ram tier,Overall,tier_okay,1.20,editorial_default
Astrill VPN,ValueForMoney,_section_total,Overall,,1.45,calculated
Astrill VPN,ValueForMoney,Anonymous payments vfm,Overall,multiple,0.50,editorial_default
Astrill VPN,ValueForMoney,Connection limit tier,Overall,under_6,0.45,editorial_default
Astrill VPN,ValueForMoney,Country count,Overall,under_30,,manual_admin
Astrill VPN,ValueForMoney,Free trial available,Overall,no,0.00,manual_admin
Astrill VPN,ValueForMoney,Includes av,Overall,no,0.00,manual_admin
Astrill VPN,ValueForMoney,Student discount,Overall,no,0.00,manual_admin
Astrill VPN,ValueForMoney,Subscription term count,Overall,three_plus,0.50,manual_admin
Avast Secureline VPN,EaseOfUse,_section_total,Overall,,4.52,calculated
Avast Secureline VPN,EaseOfUse,Apps for major platforms,Overall,all_4,1.00,manual_admin
Avast Secureline VPN,EaseOfUse,Browser extensions,Overall,none,0.00,editorial_default
Avast Secureline VPN,EaseOfUse,Ease of cancellation,Overall,very_easy,0.40,editorial_default
Avast Secureline VPN,EaseOfUse,Ease of signup,Overall,moderate,0.42,manual_admin
Avast Secureline VPN,EaseOfUse,Knowledge base,Overall,comprehensive,0.40,manual_admin
Avast Secureline VPN,EaseOfUse,Linux support,Overall,none,0.00,editorial_default
Avast Secureline VPN,EaseOfUse,Live chat quality,Overall,business_hours,0.40,editorial_default
Avast Secureline VPN,EaseOfUse,Quick connect,Overall,yes,0.80,manual_admin
